name,address,gmap_id,latitude,longitude,category,hours,time,rating,text,has_email,has_phone,has_telegram,has_whatsapp,has_dm_request
Royal Group,"Royal Group, 150 Woodstock Ave, Rutland, VT 05701",0x89e02445cb9db457:0x37f42bff4edf7a43,43.6155366,-72.9604973,"['Security system supplier', 'Fire protection equipment supplier', 'Glass & mirror shop', 'Locksmith', 'Safe & vault shop']","[['Thursday', '8AM–5PM'], ['Friday', '8AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM'], ['Wednesday', '8AM–5PM']]",2020-06-20 18:44:12 EDT,5.0,"Had our lock jam at 11pm. Not knowing what to do I called Royal Glass. Agnes showed up within 20 minutes! She had the door open quickly, and my wife and I didn't need to sleep in the car. I would recommend Royal Glass' service to anyone who needs it. A note for Royal Glass, your after hours message says ""remain on the line if you are a current customer"" this is not very welcoming when you offer 24 hour locksmithing services. I actually hung up the first time and almost didn't call back.",False,False,False,False,True
Midas,"Midas, 207 US Route 4 E, Woodstock Ave, Rutland, VT 05701",0x89e024446398691f:0x4011d3a0f8636036,43.6231573,-72.9533031,"['Auto repair shop', 'Brake shop', 'Muffler shop', 'Oil change service', 'Tire shop']","[['Wednesday', '7:30AM–5PM'], ['Thursday', '7:30AM–5PM'], ['Friday', '7:30AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '7:30AM–5PM'], ['Tuesday', '7:30AM–5PM']]",2016-02-03 08:34:36 EST,2.0,"Had a coupon for an oil change and tire rotation. Made an appointment for 5:30 PM. Got there 10 min early and still had to wait until after 6 PM to get my vehicle in. After I left I noticed my ""oil change life"" indicator on my GM vehicle had not been re-set which is a nuisance as it's now showing I'm past due for an oil change. Also I thought they would check the air pressure in my tires.....they did not and I found the pressures were way low on two of my tires. Not impressed with the experience.",False,False,False,False,True
Keyser Energy,"Keyser Energy, 77 Grove St Suite G102, Rutland, VT 05701",0x89e0247d160d7263:0x32e4f01896e33f3b,43.6113587,-72.98158,"['Heating oil supplier', 'Air conditioning contractor', 'Air conditioning repair service', 'Heating contractor', 'HVAC contractor', 'Oil & natural gas company', 'Propane supplier']","[['Wednesday', '8AM–4:30PM'], ['Thursday', '8AM–4:30PM'], ['Friday', '8AM–4:30PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–4:30PM'], ['Tuesday', '8AM–4:30PM']]",2018-02-05 17:12:13 EST,1.0,"Keyser Energy was a horrible oil company to work with in the Rutland area. We were signed up for automatic delivery and we ran out of oil on the coldest weekend to date. We called the main number and did not get an answer so I called the parent company, Dollarwise Oil, and they said someone would call me within 20 minutes. I waited 2 hours and received no call. I called Dollarwise again and got a call an our and a half later. They filled our tank but when we got the bill, the price seemed inflated (called several companies in the area and they were at $2.80 that weekend and we were charged $3.49). I called Keyser during the work week to 1) see if we were charged more because it was an emergency order (even though it wasn't our fault) and 2) what were they going to do to make sure this didn't happen again. They admitted their prices are high and they are trying to work on it and they had given me a $25 voucher. The customer service representative said that to ensure it not happening again, I should watch my oil gauge and let them know when it got low. I told her I signed up for automatic refill so I would not have to watch the gauge, especially now that I have a newborn. After sharing this information with my husband, we decided we no longer wanted to work with Keyser so I called back later in the week to discontinue being a customer. The person answering said she would have someone call me back within the next two days to talk to me more about this. No one ever called. I called the end of the next week and stated my complaint and that I would no longer like to be a customer and would like them to send me a letter stating I was no longer a customer. When I did not get such letter within a week I called again to confirm I was no longer a customer because I did not get the confirmation letter and she stated she saw the note they were suppose to send me a letter, sorry I didn't get it and that in their notes it showed I was no longer an automatic delivery customer. I just got an email in the last couple days (this all happened about a month ago) stating it was confirming we still are an automatic delivery customer. I called and left a message today for someone to call me back concerning this because I do not want them to deliver. I have yet to hear back. Stay away from this company, they have horrible customer service and seem to be lousy managing their business.",False,False,False,False,True
Norwich University,"Norwich University, 158 Harmon Dr, Northfield, VT 05663",0x4cb50fbed4c894a5:0xfd9045bf036dfe74,44.1387642,-72.6615774,"['University', 'Military school', 'Private university']","[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–4:30PM'], ['Tuesday', '8AM–4:30PM'], ['Wednesday', '8AM–4:30PM'], ['Thursday', '8AM–4:30PM'], ['Friday', '8AM–4:30PM']]",2015-03-25 19:20:01 EDT,5.0,"Excellent MBA experience! Professors are challenging and top-notch professionals in their respective fields. Lots of substantive graduate-level APA writing per week. Be prepared to easily average anywhere from writing 3500-7000 words or more per week between separate discussions and challenging individual and team assignments. Don't let the work shy you away from Norwich! After the first few weeks of your first class, I PROMISE you will get used to the hefty workload and pace. Although, I'd be remiss not to mention that despite this, you will still have time for work, decent family life, and a few key friends within reason. Time management is key. However, rest assured over the course of the entire program, the workload will make you a much stronger researcher, critical thinker, and academic writer--you will be ready to ""hit the ground running"" in your chosen discipline well before graduation. I believe the rigor of Norwich graduate programs will prepare you for the next level of academia--a PhD. If you're not afraid of a few bumps and bruises along the way to higher learning (it will happen), I challenge you to give Norwich graduate programs a try.",False,True,False,False,False
"Red Rock Mechanical, LLC","Red Rock Mechanical, LLC, 339 Red Rock Rd, Colchester, VT 05446",0x4cca6de692af857d:0x43a176c82bfedfae,44.587576,-73.216838,"['HVAC contractor', 'Air conditioning contractor', 'Air conditioning repair service', 'Furnace repair service', 'Heating contractor', 'Plumber']","[['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours']]",2021-06-18 11:56:09 EDT,5.0,"I had such a GREAT experience with Red Rock Mechanical! I literally contacted 6 other mechanics to service our broken AC unit and while others responded with an automated message, a suggestion to just install one of their $4000 units before even diagnosing our problem first, or not responding at all, a REAL HUMAN BEING from Red Rock contacted me within hours of my inquiry and advised they could have a tech to my house within the next 3 days. Tim was on time, efficient, and thorough. I've never had a technician give me so much information and was so appreciative that he took the time to ensure I understood why the AC was functioning the way it was. He had it fixed in no time. 10/10 will be using their services again if the need arises and will absolutely recommend to family/ friends. Thank you thank you.",False,False,False,False,True
Vermont Woods Studios,"Vermont Woods Studios, 538 Huckle Hill Rd, Vernon, VT 05354",0x89e117cfbd7d747d:0x7739f0749d07cfb3,42.7380705,-72.52429529999999,"['Furniture store', 'Art gallery', 'Bedroom furniture store', 'Home goods store', 'Kitchen furniture store', 'Lighting store', 'Office furniture store', 'Outdoor furniture store']","[['Saturday', '9AM–5PM'], ['Sunday', 'Closed'], ['Monday', '9AM–6PM'], ['Tuesday', '9AM–6PM'], ['Wednesday', '9AM–6PM'], ['Thursday', '9AM–6PM'], ['Friday', '9AM–5PM']]",2020-09-05 16:49:35 EDT,1.0,"The furniture that I purchased (Lyndon table and headboard) has a defective finish. It became tacky and wax like after less than two years. I thought I was getting a high quality product, but the finish in my previous hard wood table that I had purchased from Target ten years earlier had held up better. Buying from Vermont Woods Studios, I thought that I was spending my thousands of dollars on a high quality product that would last a lifetime. I could not believe that the finish had become wax-like after only cleaning the furniture with water or nothing at all. If I could go back, I never would have purchased furniture from Vermont Woods Studios. I am completely disappointed and hope nobody else is duped into believing that their product will last a lifetime. Thank you for your response, Peggy. I would also like to know if the my headboard could also be repaired free of charge since it the finish also took on a waxy texture. Since both the headboard and table had the same issue and became defective, it only makes logical sense that it would be offered that they both be fixed. I had emailed Kelli about this on Sept. 4th at 3:17pm, but the only thing that she responded to me about was about a repair kit. I emailed her again at 3:32 pm that same day, and am waiting for a response.",False,False,False,False,True
Fiddlehead at Four Corners,"Fiddlehead at Four Corners, 338 Main St, Bennington, VT 05201",0x89e09665ab6c2f25:0x63c32467e7b2102a,42.8786849,-73.1973148,['Art gallery'],"[['Friday', '9AM–6PM'], ['Saturday', '9AM–6:01PM'], ['Sunday', '9AM–6:01PM'], ['Monday', '9AM–6PM'], ['Tuesday', '9AM–6PM'], ['Wednesday', '9AM–6PM'], ['Thursday', '9AM–6PM']]",2019-01-06 14:55:02 EST,5.0,"I'm late on the reviews for the Bennington area and this is some that deserves a 5 star from me. The one that runs the Facebook page got me all excited about the place the way he comments about his customers so I FINALLY got to go there on September 28th of 2014 to have fun in the chalk vault & look around before cashing out. I don't know how the heck he knew what I was looking for, despite not being there that day but when I was cashing out, the cashier had what I was going to cash out with but it was completely in my favorite color. I was overly excited about it & I made sure to keep it in a safe place so if any friends where I live that likes it, I can easily say that I got it in a place 27-30 hours (1100-1200 miles) north from here. In short, I bought a soap that looked like a big rock & 5 years later, still in a bag surrounded by bubble wrap, and still smell the same as the day I bought it so hopefully it'll be a good way to get some Floridians up there. I cant wait to play (carefully) on the piano and buy something else from Fiddlehead. Thank you from Florida. :-D (Credit goes to: Joey for making me fall in love with Fiddlehead & Nina for being a great cashier that day.)",False,True,False,False,False
Rutland City Clerk,"Rutland City Clerk, 1 Strongs Ave, Rutland, VT 05701",0x89e02462780a53c5:0x7cacc7632b44497e,43.605184,-72.977876,['City government office'],"[['Friday', '8:30AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8:30AM–5PM'], ['Tuesday', '8:30AM–5PM'], ['Wednesday', '8:30AM–5PM'], ['Thursday', '8:30AM–5PM']]",2020-09-22 14:08:05 EDT,1.0,"Awful. If you are lucky to get through or leave a message, they either snark at you or never call back. Dreadful community service.",False,False,False,False,True
Vermont Brazilian Jiu-Jitsu,"Vermont Brazilian Jiu-Jitsu, 55 Leroy Rd STE 35, Williston, VT 05495",0x4cca79043493a4f7:0x209c295b0f7edffa,44.4486171,-73.1314907,['Martial arts school'],"[['Thursday', '12–8:30PM'], ['Friday', '5–8:30PM'], ['Saturday', '8AM–1PM'], ['Sunday', 'Closed'], ['Monday', '4–8:30PM'], ['Tuesday', '12–8:30PM'], ['Wednesday', '4–8:30PM']]",2019-11-12 10:29:03 EST,5.0,"Why choose VT BJJ Academy? VT BJJ is dedicated to the development of Brazilian Jiu-Jitsu and producing true champions inside and outside the academy. VT BJJ has been developed as a way to communicate the message about the importance of proper and complete Brazilian Jiu-Jitsu instruction taught by IBJJF Certified 7th Degree Carlson Gracie Sr. Coral Belt Instructor; a 5-Times Brazilian National Champion and 2-Times IBJJF World Champion. Safe, Positive and Supportive martial arts training environment. Brazilian Jiu-Jitsu training builds and helps to instill courage and self-confidence. Brazilian Jiu-Jitsu is a lot more than fitness and exercise training. Brazilian Jiu-Jitsu enhances strength, flexibility, balance, coordination and cardio-respiratory resistance and endurance.",False,False,False,False,True
C L White Glass Inc,"C L White Glass Inc, 105 Gage St, Bennington, VT 05201",0x89e09663654a6f81:0x10914e158947dd6a,42.8814639,-73.196088,['Auto glass shop'],"[['Wednesday', '7AM–5PM'], ['Thursday', '7AM–4PM'], ['Friday', '7AM–4PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '7AM–5PM'], ['Tuesday', '7AM–5PM']]",2019-02-05 14:35:16 EST,5.0,"Our Main St. shop was vandalized last week at 4 pm in the afternoon. Someone threw a rock and shattered our glass door. Call # 1 to police, call #2 to C L White. Within an hour and a half the door was boarded up and measured. Thanks to C L White for the quick response on a frigid day to make our shop secure and for having the replacement glass installed a few days later.",False,False,False,False,True
"Fireball Transport, LLC","Fireball Transport, LLC, 382 Hercules Dr, Colchester, VT 05446",0x4cca79b0ec968b0b:0xe085bd193a55cad,44.5094239,-73.1752645,['Transportation service'],"[['Wednesday', '8AM–5PM'], ['Thursday', '8AM–5PM'], ['Friday', '8AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM']]",2019-04-25 18:54:03 EDT,1.0,"I wish I could leave negative stars. Horrible service, horrible attitude and very unprofessional! I was promised the 1st delivery of the morning and my son took off work to accept that delivery. No one called to let us know they decided to come later. When we called to ask what happen, the delivery person was extremely rude and said they would call an hour before the were coming. At 6:00 PM - 9 hours after the promised time they showed up and dropped everything in the garage. Rude, attitude and no apologies about being so late. My son wanted to check the delivery to see if everything was there and they were not waiting. UNBELIEVABLY HORRIBLE SERVICE. I will be contacting Amazon to let them know.",False,False,False,False,True
ice cream bob's,"ice cream bob's, 1 College St, Burlington, VT 05401",0x4cca7afa912d8913:0xde859938b605958d,44.4764229,-73.22100449999999,"['Ice cream shop', 'Dessert shop']","[['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM']]",2021-06-28 21:56:20 EDT,1.0,Closes before 10 pm so their staff can leave by 10 pm. Arrived at 9:45 and they were already completely shutdown and prepared to leave. Hours not accurate.,False,False,False,False,True
Vermont Department of Taxes,"Vermont Department of Taxes, 133 State St, Montpelier, VT 05602",0x4cb5a78c88548381:0x1daeaef84b0c3103,44.2619397,-72.58200649999999,"['Tax department', 'State government office']","[['Wednesday', '7:45AM–4:30PM'], ['Thursday', '7:45AM–4:30PM'], ['Friday', '7:45AM–4:30PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '7:45AM–4:30PM'], ['Tuesday', '7:45AM–4:30PM']]",2019-07-30 23:13:17 EDT,1.0,"Called on 07/29/2019 approx 1:30p. 2 pm After being on hold for almost 10mins I get Joanna C REFUSED TO GIVE HER ID NUMBER. I stated my name and asked to speak to her supervisor when I quickly. Stated my return is missing. What she did was put me on hold instantly for 5 extra minutes. When she came back on the line. Laughing she says"" oh ma'am I am so sorry I dont know what happened, how can i help you. She gave me her name (STILL LAUGHING) I asked for her ID Number refused I asked her last name she refused and only her initial given. Since moving to this state I have had my taxes pulled every yr for no reason. I can comfortably give this PSA with out fear PEOPLE OF COLOR DO NOT MOVE TO THIS UNDER COVER TRUMP STATE THEY ARE EVERY WHERE AND THE ONES WHO CRY NOT TRUE DON'T USE THEIR WHITENESS TO STOP THE RAMPANT RACISM IN THIS STATE AT EVERY LEVEL.",False,False,False,False,True
